condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,D,69,64,82,1.354,2.84,3.516,6,
long,D,71,31,26,15.31,31.296,32.624,3,
long,D,74,89,84,7.606,33.042,36.625,5,GOOD
long,D,75,71,97,0.019,24.191,32.149,3,
long,D,78,27,1,39.637,65.9,71.849,4,little awkward
long,D,82,25,30,27.045,104.031,106.403,4,
long,D,83,95,92,39.988,44.102,49.762,4,NICE
long,D,86,81,85,21.555,24.63,30.56,3,nice
long,D,92,78,89,27.702,29.842,31.569,2,
long,D,98,65,73,5.839,111.013,116.059,5,nice
long,D,99,41,12,14.638,33.684,34.574,4,
long,D,103,54,31,16.465,63.993,65.186,5,"The second speaker used the first person's information to talk about himself (and not a very interesting tidbit), rather than draw out more information. "
long,D,107,54,50,10.815,34.786,36.672,9,
long,D,108,72,78,4.792,7.534,45.942,4,
long,D,115,80,72,16.511,40.712,47.523,5,GOOD
long,D,121,86,92,16.122,27.618,29.764,2,
long,D,122,76,74,35.829,38.566,39.911,3,
long,D,123,97,90,13.386,24.761,39.594,5,good
long,D,132,63,58,30.08,31.319,32.24,2,
long,D,135,60,73,34.497,36.865,38.324,2,
long,D,137,28,85,7.808,13.191,50.409,3,sorry no
long,D,139,100,99,53.737,56.928,60.993,3,GOOD
long,D,140,23,3,27.278,30.831,32.899,2,
long,D,142,60,46,33.757,37.862,38.985,3,
long,D,145,48,33,14.349,24.639,27.268,2,
long,D,146,78,70,6.621,139.322,145.955,5,happy to feell
long,D,147,81,85,40.691,44.793,57.014,4,good  possition about our talk 
long,D,158,10,15,29.496,35.295,53.959,3,Odd pauses
long,D,160,49,12,14.886,17.355,25.709,2,
long,D,161,100,99,3.859,5.169,18.101,2,
long,D,163,35,46,50.235,53.099,53.8,6,
long,D,169,64,69,77.585,80.794,84.896,4,
long,D,173,27,30,19.374,25.747,26.795,5,
long,D,174,32,36,36.824,48.292,50.265,3,
long,D,175,59,38,34.289,36.623,37.587,2,
long,D,177,95,96,12.335,38.605,40.104,4,
long,D,183,68,44,29.193,32.019,34.074,2,
long,D,185,56,48,28.261,30.326,31.54,2,
